ins_name,num_vehi,diff_b,diff_t,total_b,total_t,relative_gap_b,relative_gap_t,solve_time_b,solve_time_t
R201-50,6,389.59999999996745,Inf,21112.899999999987,Inf,1.0,1.0,600.02,Inf
R202-50,5,124.60000000004803,Inf,21340.399999999936,Inf,1.0,1.0,600.02,Inf
R203-50,5,Inf,Inf,Inf,Inf,1.0e100,1.0,600.1,Inf
R204-50,2,Inf,Inf,Inf,Inf,1.0e100,1.0,600.01,Inf
R205-50,4,27.899999402878148,Inf,20181.299999402938,Inf,1.0,1.0,600.03,Inf
R206-50,4,Inf,Inf,Inf,Inf,1.0e100,1.0,600.02,Inf
R207-50,2,Inf,Inf,Inf,Inf,1.0e100,1.0,600.01,Inf
R208-50,2,Inf,Inf,Inf,Inf,1.0e100,1.0,600.06,Inf
R209-50,4,6.299999999972878,Inf,21223.899999999943,Inf,1.0,1.0,600.04,Inf
R210-50,4,107.69999999999709,Inf,24021.199999999968,Inf,1.0,1.0,600.02,Inf
R211-50,3,Inf,Inf,Inf,Inf,1.0e100,1.0,600.04,Inf
RC101-50,8,Inf,Inf,Inf,Inf,1.0e100,1.0,600.01,Inf
RC102-50,7,Inf,Inf,Inf,Inf,1.0e100,1.0,600.02,Inf
RC103-50,6,Inf,Inf,Inf,Inf,1.0e100,1.0,600.04,Inf
RC104-50,5,Inf,Inf,Inf,Inf,1.0e100,1.0,600.07,Inf
RC105-50,8,Inf,Inf,Inf,Inf,1.0e100,1.0,600.02,Inf
RC106-50,6,Inf,Inf,Inf,Inf,1.0e100,1.0,600.03,Inf
RC107-50,6,Inf,Inf,Inf,Inf,1.0e100,1.0,600.4,Inf
RC108-50,6,Inf,Inf,Inf,Inf,1.0e100,1.0,600.32,Inf
RC201-50,5,80.40000000000934,Inf,20101.49999999998,Inf,1.0,1.0,600.02,Inf
RC202-50,5,297.6000000000204,Inf,21100.199999999975,Inf,1.0,1.0,600.13,Inf
RC203-50,4,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC204-50,3,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC205-50,5,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC206-50,5,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC207-50,4,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC208-50,2,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C101-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C102-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C103-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C104-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C105-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C106-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C107-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C108-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C109-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C201-100,3,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C202-100,3,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C203-100,3,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C204-100,3,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C205-100,3,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C206-100,3,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C207-100,3,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
C208-100,3,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R101-100,20,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R102-100,18,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R103-100,14,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
