ins_name,num_vehi,diff_b,diff_t,diff_d,diff_c,total_b,total_t,total_d,total_c,dis_b,dis_t,dis_d,dis_c,relative_gap_b,relative_gap_t,relative_gap_d,relative_gap_c,solve_time_b,solve_time_t,solve_time_d,solve_time_c
RC107-50,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC108-50,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC201-50,5,194.999999937986,802.0000000000002,Inf,Inf,20517.899999977988,18133,Inf,Inf,2245.9999999999995,1588.4,Inf,Inf,1.0,0.0,1.0,1.0,3604.81,245.81,Inf,3600.0
RC202-50,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC203-50,4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC204-50,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC205-50,5,Inf,1122,Inf,Inf,Inf,15814.799999995994,Inf,Inf,Inf,1935.0999999999997,Inf,Inf,1.0,0.013,1.0,1.0,3600.0,3604.48,Inf,3600.0
RC206-50,5,Inf,370,Inf,Inf,Inf,15435.800000000003,Inf,Inf,Inf,1516.0,Inf,Inf,1.0,0.0,1.0,1.0,3600.0,3209.09,Inf,3600.0
RC207-50,4,Inf,223,Inf,Inf,Inf,14512.499999972992,Inf,Inf,Inf,1522.7,Inf,Inf,1.0,0.063,1.0,1.0,3600.0,3611.03,Inf,3600.0
RC208-50,2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
C101-100,10,6366.299999999916,Inf,Inf,Inf,55019.600000000326,Inf,Inf,Inf,1115.6999999999996,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3606.51,3600.0,Inf,Inf
C102-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C103-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C104-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C105-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C106-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C107-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C108-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C109-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C201-100,3,Inf,189.60000000000582,Inf,Inf,Inf,163634.40000000107,Inf,Inf,Inf,624.6000000000001,Inf,Inf,1.0,0.044,1.0,1.0,3600.0,3603.03,Inf,Inf
C202-100,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C203-100,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
