ins,Num_Run,i,date,alpha,iter,time,num_vehi,obj,DiffRoute,Dis,BestVehi,BestKnown,BestDiffRoute,BestDis,gap
C101,10.0,5,2023-10-28,0.99,8240,5922.894748434,10,827.3,"(8, 13)",827.3,10,827.3,"(8, 13)",827.3000000000001,-0.0
C102,10.0,9,2023-10-28,0.99,12444,1127.256797923,10,827.3,"(8, 13)",827.2999999999998,10,827.3,"(8, 13)",827.3000000000001,-0.0
C103,10.0,5,2023-10-28,0.99,13105,3739.845583274,10,826.3,"(8, 13)",826.3,10,826.3,"(8, 13)",826.3000000000001,-0.0
C104,10.0,1,2023-10-27,0.99,14057,2423.12964386,10,874.1,"(8, 12)",874.1,10,822.9,"(8, 13)",822.8999999999999,6.22
C105,10.0,9,2023-10-28,0.99,11456,4015.871368324,10,827.3,"(8, 13)",827.2999999999996,10,827.3,"(8, 13)",827.3000000000001,-0.0
C106,10.0,1,2023-10-27,0.99,15878,2028.003049347,10,827.3,"(8, 13)",827.2999999999997,10,827.3,"(8, 13)",827.3000000000001,-0.0
C107,10.0,1,2023-10-27,0.99,12176,3572.659636863,10,827.3,"(8, 13)",827.2999999999996,10,827.3,"(8, 13)",827.3000000000001,-0.0
C108,10.0,9,2023-10-28,0.99,16346,1150.17683478,10,827.3,"(8, 13)",827.3,10,827.3,"(8, 13)",827.3000000000001,-0.0
C109,10.0,6,2023-10-28,0.99,12979,3431.19412613,10,853.3,"(8, 12)",853.3,10,827.3,"(8, 13)",827.3000000000001,3.14
C201,10.0,6,2023-10-28,0.99,10111,2115.234297014,3,589.1,"(32, 35)",589.0999999999999,3,589.1,"(32, 35)",589.1000000000001,-0.0
C202,10.0,1,2023-10-27,0.99,11148,3146.353039146,4,619.1,"(9, 35)",619.1,3,589.1,"(32, 35)",589.1,5.09
C203,10.0,8,2023-10-28,0.99,17960,2432.990506057,4,637.8,"(16, 34)",637.8000000000002,3,588.7,"(32, 35)",588.7,8.34
C204,10.0,6,2023-10-28,0.99,13815,3143.469122416,5,681.9,"(16, 23)",681.9000000000001,3,588.1,"(32, 35)",588.1000000000001,15.95
C205,10.0,3,2023-10-27,0.99,11478,1958.118801055,4,613.1,"(3, 35)",613.1000000000001,3,586.4,"(32, 35)",586.4000000000001,4.55
C206,10.0,7,2023-10-28,0.99,12515,3166.243807979,4,618.6,"(8, 35)",618.6000000000003,3,586.0,"(32, 35)",586.0000000000001,5.56
C207,10.0,6,2023-10-28,0.99,11701,1711.032763294,4,640.3,"(16, 35)",640.3,3,585.8,"(32, 35)",585.8000000000002,9.3
C208,10.0,1,2023-10-27,0.99,11810,3042.663743068,4,614.7,"(4, 35)",614.7,3,585.8,"(32, 35)",585.8000000000001,4.93
R101,9.0,8,2023-10-28,0.99,11248,2824.73932584,21,1655.0,"(2, 7)",1654.9999999999998,19,1645.7,"(2, 8)",1645.7,0.57
R102,10.0,8,2023-10-28,0.99,15849,5364.95118646,19,1494.5,"(2, 10)",1494.4999999999993,17,1481.2,"(2, 9)",1481.1999999999994,0.9
R103,10.0,3,2023-10-27,0.99,14186,1264.956302743,16,1260.9,"(2, 11)",1260.8999999999996,13,1288.1,"(5, 12)",1288.1,-2.11
R104,10.0,3,2023-10-27,0.99,10131,3134.386281337,13,1038.1,"(1, 12)",1038.1,9,1002.4,"(10, 13)",1002.3999999999997,3.56
R105,10.0,8,2023-10-28,0.99,12228,1899.581184584,16,1385.9,"(3, 8)",1385.8999999999996,14,1372.3,"(4, 9)",1372.3000000000002,0.99
R106,10.0,9,2023-10-28,0.99,14105,4708.504941555,15,1277.3,"(1, 10)",1277.3000000000002,12,1247.4,"(5, 10)",1247.3999999999996,2.4
R107,10.0,8,2023-10-28,0.99,11996,1726.827062627,13,1123.0,"(2, 12)",1123.0,10,1100.1,"(7, 12)",1100.1,2.08
R108,10.0,2,2023-10-27,0.99,14630,4365.836708171,12,998.3,"(1, 12)",998.2999999999996,9,956.4,"(10, 13)",956.3999999999999,4.38
R109,10.0,7,2023-10-28,0.99,18826,1964.113795731,14,1165.0,"(2, 11)",1165.0000000000002,11,1189.8,"(7, 12)",1189.8000000000004,-2.08
R110,10.0,1,2023-10-27,0.99,11950,4233.012033811,13,1117.8,"(2, 12)",1117.8,10,1114.4,"(8, 11)",1114.4000000000003,0.31
R111,10.0,10,2023-10-28,0.99,20000,1848.447110851,13,1105.8,"(4, 10)",1105.7999999999995,11,1189.8,"(7, 12)",1189.8000000000004,-7.06
R112,10.0,10,2023-10-28,0.99,17433,4981.268522759,11,1021.0,"(7, 12)",1021.0,9,977.7,"(10, 12)",977.7,4.43
R201,10.0,8,2023-10-28,0.99,11702,1925.606983569,11,1221.4,"(6, 15)",1221.4,4,1248.4,"(19, 30)",1248.4000000000003,-2.16
R202,10.0,6,2023-10-28,0.99,11423,2905.092424861,9,1084.7,"(6, 19)",1084.6999999999998,3,1187.9,"(32, 35)",1187.9,-8.69
R203,10.0,1,2023-10-27,0.99,14447,2052.838657547,8,933.6,"(2, 22)",933.6000000000001,3,935.7,"(25, 44)",935.7000000000003,-0.22
R204,10.0,1,2023-10-27,0.99,13270,3024.197884605,5,771.0,"(9, 28)",770.9999999999998,2,821.1,"(48, 52)",821.0999999999999,-6.1
R205,10.0,5,2023-10-28,0.99,14883,2535.016451791,7,999.2,"(10, 19)",999.1999999999999,3,990.3,"(21, 40)",990.3000000000002,0.9
R206,10.0,2,2023-10-27,0.99,14032,3190.365464312,8,965.0,"(7, 16)",965.0,3,902.4,"(26, 38)",902.4000000000001,6.94
R207,10.0,6,2023-10-28,0.99,13545,2236.232248938,5,867.5,"(15, 27)",867.5000000000002,2,886.6,"(47, 53)",886.6,-2.15
R208,10.0,10,2023-10-28,0.99,12335,2721.248389968,5,746.0,"(1, 30)",746.0,2,722.6,"(49, 51)",722.6000000000003,3.24
R209,10.0,10,2023-10-28,0.99,17499,2595.425803966,8,938.7,"(5, 21)",938.7000000000002,3,904.9,"(31, 38)",904.9000000000003,3.74
R210,10.0,6,2023-10-28,0.99,12652,2944.051865709,8,961.9,"(5, 17)",961.9000000000001,3,935.3,"(32, 36)",935.2999999999998,2.84
R211,10.0,2,2023-10-27,0.99,14183,2272.603696184,7,831.9,"(6, 22)",831.8999999999996,2,882.0,"(49, 51)",882.0,-5.68
RC101,9.0,9,2023-10-28,0.99,14698,5485.595656523,18,1703.6,"(2, 11)",1711.2000000000005,14,1693.2,"(5, 10)",1693.1999999999998,0.61
RC102,9.0,7,2023-10-28,0.99,11991,739.751800504,16,1496.0,"(1, 10)",1495.999999999999,12,1551.1,"(6, 11)",1551.1000000000006,-3.55
RC103,10.0,4,2023-10-27,0.99,12615,4129.430056732,13,1365.4,"(5, 10)",1365.3999999999996,11,1258.0,"(6, 12)",1258.0,8.54
RC104,10.0,4,2023-10-27,0.99,12039,1537.809758313,12,1216.0,"(5, 11)",1215.9999999999995,10,1132.3,"(7, 13)",1132.3000000000004,7.39
RC105,10.0,10,2023-10-28,0.99,11276,4276.38350577,17,1595.3,"(3, 8)",1595.2999999999997,13,1625.0,"(4, 10)",1625.0000000000002,-1.83
RC106,10.0,6,2023-10-28,0.99,14061,1317.311281387,15,1442.1,"(1, 11)",1442.1,11,1421.0,"(7, 11)",1420.9999999999998,1.48
RC107,10.0,7,2023-10-28,0.99,12402,4505.047075064,14,1321.3,"(1, 11)",1321.2999999999995,11,1227.1,"(6, 11)",1227.1000000000004,7.68
RC108,10.0,10,2023-10-28,0.99,14016,1523.072386454,12,1202.3,"(2, 11)",1202.3,10,1136.3,"(8, 11)",1136.3,5.81
RC201,10.0,4,2023-10-27,0.99,19435,4739.922360436,11,1303.4,"(2, 16)",1303.3999999999999,4,1403.3,"(21, 27)",1403.2999999999997,-7.12
RC202,10.0,10,2023-10-28,0.99,14789,3743.464540433,9,1164.4,"(7, 17)",1164.4,3,1362.7,"(29, 39)",1362.6999999999996,-14.55
RC203,10.0,5,2023-10-28,0.99,17279,3768.72018439,7,969.5,"(10, 22)",969.5000000000001,3,1046.3,"(27, 44)",1046.3,-7.34
RC204,10.0,2,2023-10-27,0.99,15981,3630.705205967,4,817.0,"(14, 38)",817.0000000000002,3,795.5,"(32, 34)",795.5000000000003,2.7
