i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,17.42,18.14,197.33282761010256,0.99,6,4856.200000000001,11880,1933.39787955
2,2023-10-26,18.45,19.26,57.90193532362257,0.99,6,4803.500000000001,15964,2482.866664336
3,2023-10-26,19.50,20.39,22.511341279198458,0.99,6,4770.700000000001,20000,2923.109527408
4,2023-10-26,20.59,21.36,112.4010158949324,0.99,6,4814.1,14630,2208.556560598
5,2023-10-26,22.4,22.54,24.642491798822416,0.99,5,4779.0,20000,3030.619557061
6,2023-10-26,23.10,23.59,22.511341279198444,0.99,6,4896.3,20000,2962.501216149
7,2023-10-27,0.16,1.0,65.98353065746502,0.99,6,4808.9,16612,2682.307143197
8,2023-10-27,1.22,1.52,136.05093760774565,0.99,6,4839.1,11542,1779.942873288
9,2023-10-27,2.25,3.3,75.19310526825157,0.99,6,4913.1,14794,2280.517985884
10,2023-10-27,3.34,4.12,79.8669045928284,0.99,5,4808.700000000001,14879,2279.44435068
