i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-06-20,21.12,21.12,39.52123201513284,0.99,7,7.600000000000023,17244,18.6396878
2,2023-06-21,15.6,15.7,23.91058514990557,0.99,7,14.599999999999795,20000,24.2468576
3,2023-06-22,20.56,20.56,144.5074946023084,0.99,8,30.800000000000153,12958,15.241088
4,2023-06-22,21.10,21.10,238.8529676834753,0.99,7,19.20000000000016,11373,13.0584163
5,2023-06-22,21.23,21.23,258.85054568810955,0.99,7,8.399999999999807,10536,11.7378577
6,2023-06-22,21.36,21.37,182.08781971368174,0.99,5,5.399999999999864,9575,10.2255924
7,2023-06-22,21.51,21.51,353.47447030084203,0.99,8,37.19999999999985,10726,12.575444
8,2023-06-22,22.4,22.4,342.9759250584369,0.99,6,2.3000000000002387,8732,9.5346515
9,2023-06-22,22.18,22.18,77.49477765951687,0.99,7,15.200000000000045,14754,15.7259791
10,2023-06-22,22.32,22.32,25.653335577380137,0.99,7,24.600000000000136,17628,19.6344486
11,2023-06-22,22.45,22.46,234.0997936265742,0.99,6,12.299999999999926,11599,12.3509193
12,2023-06-22,22.59,22.59,52.89441658081138,0.99,7,9.200000000000102,17136,18.4842983
