i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-08-29,20.30,20.30,346.4403283418556,0.99,4,416.90000000000003,7448,1.945722625
2,2023-08-29,20.32,20.32,316.47921516418063,0.99,5,436.00000000000006,7855,1.932170458
3,2023-08-29,20.34,20.34,256.26204023122887,0.99,5,435.99999999999994,8334,2.041397292
4,2023-08-29,20.37,20.37,205.42749038703835,0.99,5,438.9000000000001,9327,2.253939708
5,2023-08-29,20.39,20.39,87.42791098124145,0.99,5,436.0,12945,3.043356459
6,2023-08-29,20.41,20.42,124.28487804099629,0.99,5,436.0000000000001,12041,2.887927417
7,2023-08-29,20.44,20.44,161.3998887179815,0.99,5,436.0,9828,2.340319167
8,2023-08-29,20.46,20.46,156.60615062316845,0.99,5,436.00000000000006,11441,2.784213833
9,2023-08-29,20.49,20.49,473.0830728054062,0.99,5,438.70000000000005,6477,1.663423958
10,2023-08-29,20.51,20.51,117.01174554632223,0.99,5,431.2,11560,2.852426917
