ins,Num_Run,i,date,alpha,iter,time,num_vehi,obj,BestVehi,BestKnown,gap
C101,7.0,7,2023-06-18,0.99,20000,265.3251141,14,6826.4,10,6363.2,7.28
C102,6.0,4,2023-06-17,0.99,20000,196.3951702,19,5516.6,Inf,Inf,NaN
C103,6.0,2,2023-05-20,0.99,14820,143.699405,20,1173.2,Inf,Inf,NaN
C104,6.0,1,2023-05-19,0.99,16107,142.153386,18,244.0,Inf,Inf,NaN
C105,6.0,2,2023-05-20,0.99,20000,189.512676,14,3664.9,Inf,Inf,NaN
C106,6.0,4,2023-06-17,0.99,20000,182.3835842,15,1960.8,Inf,Inf,NaN
C107,6.0,6,2023-06-18,0.99,20000,227.7137564,14,2862.2,Inf,Inf,NaN
C108,6.0,1,2023-05-19,0.99,11035,103.3901856,18,989.5,Inf,Inf,NaN
C109,6.0,2,2023-05-20,0.99,20000,180.0162471,18,104.7,Inf,Inf,NaN
C201,6.0,3,2023-05-24,0.99,19163,179.8546954,9,3136.4,Inf,Inf,NaN
C202,6.0,1,2023-05-19,0.99,10666,88.8432894,5,187.8,Inf,Inf,NaN
C203,6.0,5,2023-06-18,0.99,15004,139.6149822,5,282.8,Inf,Inf,NaN
C204,6.0,5,2023-06-18,0.99,14308,119.3904753,5,309.8,Inf,Inf,NaN
C205,6.0,3,2023-05-24,0.99,20000,184.8275442,9,854.4,Inf,Inf,NaN
C206,6.0,1,2023-05-19,0.99,20000,166.5022494,9,2139.8,Inf,Inf,NaN
C207,6.0,3,2023-05-24,0.99,20000,178.2786305,12,3265.1,Inf,Inf,NaN
C208,6.0,6,2023-06-18,0.99,19029,204.5970598,13,516.4,Inf,Inf,NaN
R101,6.0,1,2023-05-19,0.99,20000,272.2313412,23,4255.2,Inf,Inf,NaN
R102,6.0,6,2023-06-18,0.99,20000,303.0341063,25,752.4,Inf,Inf,NaN
R103,3.0,6,2023-06-18,0.99,20000,268.3316418,26,705.4,Inf,Inf,NaN
R104,3.0,3,2023-06-18,0.99,15449,203.8769421,25,550.6,Inf,Inf,NaN
R105,3.0,3,2023-06-18,0.99,20000,276.3576683,20,896.6,Inf,Inf,NaN
R106,3.0,3,2023-06-18,0.99,20000,259.0361504,25,466.4,Inf,Inf,NaN
R107,3.0,1,2023-05-27,0.99,17278,202.8948322,25,234.6,Inf,Inf,NaN
R108,3.0,2,2023-06-17,0.99,14809,189.8996476,25,276.0,Inf,Inf,NaN
R109,3.0,3,2023-06-18,0.99,15302,205.7199616,27,276.0,Inf,Inf,NaN
R110,3.0,3,2023-06-18,0.99,18098,246.8273694,28,306.0,Inf,Inf,NaN
R111,3.0,2,2023-06-17,0.99,16713,213.4042014,26,428.4,Inf,Inf,NaN
R112,3.0,1,2023-05-27,0.99,13650,204.8143233,33,479.8,Inf,Inf,NaN
R201,3.0,1,2023-05-27,0.99,17721,168.3571119,6,232.2,Inf,Inf,NaN
R202,3.0,2,2023-06-17,0.99,20000,184.5842715,13,197.2,Inf,Inf,NaN
R203,3.0,2,2023-06-17,0.99,20000,180.2916135,14,71.9,Inf,Inf,NaN
R204,3.0,1,2023-05-27,0.99,11966,89.6188441,11,36.6,Inf,Inf,NaN
R205,3.0,3,2023-06-18,0.99,20000,197.4439828,5,19.2,Inf,Inf,NaN
R206,3.0,1,2023-05-27,0.99,20000,167.5505633,13,28.2,Inf,Inf,NaN
R207,3.0,1,2023-05-27,0.99,19027,162.7831709,15,62.6,Inf,Inf,NaN
R208,3.0,1,2023-05-27,0.99,18978,137.1440226,11,17.0,Inf,Inf,NaN
R209,3.0,3,2023-06-18,0.99,20000,190.2560479,14,139.6,Inf,Inf,NaN
R210,3.0,1,2023-05-27,0.99,20000,152.6149877,8,199.4,Inf,Inf,NaN
R211,3.0,3,2023-06-18,0.99,13467,140.7497308,20,175.2,Inf,Inf,NaN
RC101,3.0,3,2023-06-18,0.99,20000,326.8296298,26,2507.9,Inf,Inf,NaN
RC102,3.0,3,2023-06-18,0.99,20000,308.2073491,27,1051.2,Inf,Inf,NaN
RC103,3.0,1,2023-05-27,0.99,20000,269.8601334,28,522.3,Inf,Inf,NaN
RC104,3.0,2,2023-06-17,0.99,11131,156.8832944,29,424.6,Inf,Inf,NaN
RC105,3.0,3,2023-06-18,0.99,20000,313.898399,25,1867.4,Inf,Inf,NaN
RC106,3.0,3,2023-06-18,0.99,15195,224.8766447,28,702.9,Inf,Inf,NaN
RC107,3.0,1,2023-05-27,0.99,13744,199.3418515,30,495.0,Inf,Inf,NaN
RC108,3.0,1,2023-05-27,0.99,18688,304.3280423,36,567.5,Inf,Inf,NaN
RC201,3.0,2,2023-06-18,0.99,18849,180.7392879,9,100.6,Inf,Inf,NaN
RC202,3.0,1,2023-05-27,0.99,18385,166.3766839,6,129.9,Inf,Inf,NaN
RC203,3.0,2,2023-06-18,0.99,16367,153.2116761,15,68.4,Inf,Inf,NaN
RC204,3.0,2,2023-06-18,0.99,14388,117.1232799,12,35.4,Inf,Inf,NaN
RC205,3.0,3,2023-06-18,0.99,15606,162.3954387,6,294.1,Inf,Inf,NaN
RC206,3.0,3,2023-06-18,0.99,17734,179.7664755,13,102.0,Inf,Inf,NaN
RC207,3.0,2,2023-06-18,0.99,15195,137.5089223,15,81.8,Inf,Inf,NaN
RC208,3.0,1,2023-05-27,0.99,12675,120.3314912,20,138.1,Inf,Inf,NaN
