i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-05,22.50,22.51,168.02056956074716,0.99,5,1039.2000000000003,15339,79.132870857
2,2023-10-06,0.25,0.26,774.1281741078487,0.99,5,297.6000000000008,9957,60.909382032
3,2023-10-06,1.46,1.47,68.00329656885674,0.99,5,1039.2000000000003,18797,97.916808332
4,2023-10-06,3.9,3.11,86.55363187142898,0.99,5,1039.2000000000003,17456,93.497924078
5,2023-10-06,4.34,4.35,113.53637969185093,0.99,5,1039.2000000000003,15337,78.849725155
6,2023-10-06,6.0,6.1,253.69941982891598,0.99,7,379.7999999999997,13717,70.44726429
7,2023-10-06,7.24,7.26,143.0624196562853,0.99,5,1033.0,14778,82.860133312
8,2023-10-06,8.49,8.50,70.0848878220596,0.99,5,1039.2000000000003,18880,99.405750567
9,2023-10-06,10.14,10.16,91.93357069344181,0.99,5,1016.3999999999992,17793,94.832359635
10,2023-10-25,17.17,17.35,246.16429336057774,0.99,5,1039.2000000000003,14038,1116.977133021
