i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-06-21,12.28,12.29,191.4718452972545,0.99,13,79.99999999999966,17203,55.1605655
2,2023-06-23,14.49,14.49,1472.8564449742448,0.99,14,216.30000000000038,8906,30.5362946
3,2023-06-23,15.33,15.33,659.1374496676146,0.99,13,68.79999999999995,11317,37.7135932
4,2023-06-23,16.15,16.15,693.1065679782091,0.99,13,67.79999999999984,10450,35.0463493
5,2023-06-23,16.58,16.59,714.322665465191,0.99,13,114.79999999999961,11157,37.6325592
6,2023-06-23,17.43,17.44,502.4886325074368,0.99,14,96.00000000000017,12911,45.6227718
7,2023-06-23,18.27,18.28,555.6154267017563,0.99,15,230.40000000000055,12781,45.9725905
8,2023-06-23,19.12,19.13,220.40030867829,0.99,13,54.000000000000114,16294,54.2515428
9,2023-06-23,19.56,19.57,814.0234213693943,0.99,14,142.39999999999998,11052,38.5019661
10,2023-06-23,20.41,20.41,402.8102587136055,0.99,14,108.1000000000007,13203,47.3272494
11,2023-06-23,21.26,21.26,891.0870852320414,0.99,14,116.1000000000002,10572,37.3059477
