i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-06-21,12.38,12.38,700.1076444224332,0.99,11,80.80000000000132,12422,35.3387193
2,2023-06-23,14.59,15.0,1458.127880524502,0.99,12,75.39999999999918,10103,29.2213704
3,2023-06-23,15.42,15.43,639.5604082750366,0.99,11,43.80000000000064,13837,39.0026384
4,2023-06-23,16.25,16.26,82.31164269243645,0.99,9,14.200000000001637,20000,51.3658001
5,2023-06-23,17.9,17.9,539.1130929132873,0.99,9,29.19999999999959,13614,35.3100321
6,2023-06-23,17.54,17.55,133.34352394935135,0.99,9,26.799999999999727,18827,49.8272575
7,2023-06-23,18.38,18.39,1548.7611517377293,0.99,12,94.89999999999975,10881,32.6741699
8,2023-06-23,19.23,19.23,512.6911871313499,0.99,10,32.59999999999923,13983,38.5897651
9,2023-06-23,20.8,20.9,517.8698859912624,0.99,11,70.79999999999905,14459,42.3546384
10,2023-06-23,20.51,20.52,310.18127878241285,0.99,12,80.39999999999975,15700,48.5992078
11,2023-06-23,21.36,21.37,286.21812930733887,0.99,11,46.999999999999545,16514,47.947739
