i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-08,15.43,15.44,138.81332273007408,0.99,7,735.64,10168,29.618825904
2,2023-10-08,16.25,16.26,14.178174707719997,0.99,6,723.06,20000,54.391789695
3,2023-10-08,17.9,17.1,32.6512018662292,0.99,7,701.0400000000001,16842,49.203203037
4,2023-10-08,17.49,17.5,75.95263158409246,0.99,7,773.5600000000001,12350,36.658664624
5,2023-10-08,18.32,18.33,68.00329656885664,0.99,7,699.4799999999999,12662,36.033350831
6,2023-10-08,19.12,19.12,37.58429840618063,0.99,7,784.9199999999998,16158,46.602220291
7,2023-10-08,19.53,19.54,36.468007159218615,0.99,7,698.6399999999999,16090,46.156421771
8,2023-10-08,20.36,20.37,37.208455422118874,0.99,6,641.28,14860,41.232753656
9,2023-10-08,21.18,21.19,84.83121459718757,0.99,7,720.0,11812,33.832361226
10,2023-10-08,21.59,21.59,64.02375381340784,0.99,7,709.44,13744,38.801639174
11,2023-10-30,14.13,14.51,42.83008317878761,0.99,7,734.0400000000001,15452,2228.3540981
12,2023-10-30,15.34,16.2,22.511341279198444,0.99,8,808.0999999999999,18339,2768.559893714
13,2023-10-30,16.56,17.27,153.48968822576748,0.99,8,818.9400000000002,10612,1864.848698502
14,2023-10-30,18.18,18.47,91.01423498650739,0.99,7,706.76,13048,1728.274238339
15,2023-10-30,19.38,20.17,51.32339951394482,0.99,6,692.8800000000001,13656,2314.540580304
16,2023-10-30,20.56,21.45,57.9019353236226,0.99,7,755.0000000000001,14384,2948.326986101
17,2023-10-30,22.19,22.54,53.96838749190033,0.99,6,689.1,13087,2088.803134162
18,2023-10-31,23.38,0.15,49.79904322498118,0.99,8,781.28,15355,2208.963637715
19,2023-10-31,0.57,1.37,60.2770933054599,0.99,7,714.48,13636,2415.949675636
20,2023-10-31,2.15,3.1,11.59642745590976,0.99,6,662.46,20000,3288.851517852
