i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-08,15.8,15.9,15.677195622858802,0.99,5,424.24000000000007,18270,56.699007323
2,2023-10-08,15.5,15.5,72.23019690019238,0.99,5,506.6,14980,44.469908881
3,2023-10-08,16.33,16.34,47.35839460149709,0.99,5,506.6,14773,45.341513993
4,2023-10-08,17.15,17.16,53.968387491900295,0.99,5,506.6,15001,43.758193697
5,2023-10-08,17.56,17.57,16.320279763455204,0.99,5,506.6,20000,58.230292461
6,2023-10-08,18.39,18.4,14.466049084501563,0.99,5,506.6,20000,60.12679159
7,2023-10-08,19.18,19.19,17.161357014378137,0.99,5,506.6,19713,59.344898276
8,2023-10-08,20.0,20.1,69.3840389438392,0.99,5,506.6,12622,38.734557945
9,2023-10-08,20.42,20.43,14.46604908450156,0.99,5,506.6,18078,55.912569087
10,2023-10-08,21.25,21.25,27.80111956458835,0.99,5,506.6,18874,57.00419945
11,2023-10-30,14.13,15.12,13.757068740725984,0.99,5,506.6,20000,3535.902390965
12,2023-10-30,15.34,16.37,12.822487062005132,0.99,5,408.6800000000001,20000,3791.405095463
13,2023-10-30,16.56,17.3,109.06259332183716,0.99,5,506.6,12441,2071.212027719
14,2023-10-30,18.18,19.9,59.07757914868134,0.99,5,506.6,16244,3082.281573719
15,2023-10-30,19.38,20.16,114.68321180995045,0.99,5,506.6,11613,2251.573045775
16,2023-10-30,20.56,21.53,17.50980207568425,0.99,5,453.59999999999997,20000,3417.539202228
17,2023-10-30,22.19,22.58,38.734759498031615,0.99,5,506.6,15135,2335.916660078
18,2023-10-31,23.38,0.35,23.910585149905618,0.99,5,506.6,18795,3425.97301844
19,2023-10-31,0.57,1.45,20.155265001939732,0.99,5,506.6,20000,2884.776593079
20,2023-10-31,2.15,3.6,41.55798687829451,0.99,5,506.6,14559,3046.089324593
