i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-08-05,17.49,17.49,995.2518849647562,0.99,3,335.7999999999994,6894,12.886454881
2,2023-08-05,18.3,18.3,477.8616897024309,0.99,3,344.8999999999999,7423,10.384094151
3,2023-08-05,18.16,18.17,449.89729501405844,0.99,3,331.2999999999996,7634,13.370756675
4,2023-08-05,18.31,18.31,555.6154267017565,0.99,3,344.8999999999999,7405,13.176711685
5,2023-08-05,18.44,18.44,561.2277037391484,0.99,3,344.8999999999999,7794,9.981433509
6,2023-08-05,18.55,18.55,1695.3824966128666,0.99,3,327.7999999999994,6159,7.519382381
7,2023-08-05,19.7,19.7,891.0870852320415,0.99,4,533.7999999999997,6346,9.050502058
8,2023-08-05,19.20,19.20,774.1281741078496,0.99,3,344.8999999999999,6601,9.728613728
9,2023-08-05,19.31,19.31,555.6154267017567,0.99,3,344.8999999999999,8306,10.488118386
10,2023-08-05,19.43,19.44,277.71716464878205,0.99,3,342.5999999999997,8657,9.842921191
