i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-27,5.50,6.20,76.71982988292169,0.99,15,1262.7999999999995,11151,1785.202255509
2,2023-10-27,7.40,8.10,69.38403894383924,0.99,15,1232.2,12531,1816.112828011
3,2023-10-27,9.20,9.55,49.30105279273125,0.99,15,1253.1000000000001,13743,2080.383038795
4,2023-10-27,11.6,11.38,50.81016551880539,0.99,14,1230.5,13684,1938.979585189
5,2023-10-28,6.3,6.38,99.63056005479226,0.99,15,1254.5999999999997,11191,2114.56635134
6,2023-10-28,7.58,8.22,125.54028084949132,0.99,15,1288.6000000000001,9511,1460.372372987
7,2023-10-28,9.43,10.16,13.757068740725956,0.99,14,1165.0000000000002,18826,1964.113795731
8,2023-10-28,11.17,11.49,124.28487804099638,0.99,15,1237.8000000000002,9552,1955.006830922
9,2023-10-28,13.0,13.35,59.67432237240547,0.99,15,1263.4,11140,2135.668611828
10,2023-10-28,14.49,15.23,23.910585149905614,0.99,15,1236.6000000000001,16748,2039.504211879
