i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-04-29,16.46,16.47,43.69970735515531,0.99,15,1521.8999999999994,12141,66.571916021
2,2023-04-29,17.33,17.34,28.08193895412964,0.99,18,1652.2,15179,69.54480719
3,2023-04-29,18.19,18.20,49.30105279273135,0.99,16,1581.1,12245,67.015438239
4,2023-04-29,19.5,19.5,78.27755319143115,0.99,17,1587.8999999999999,10629,49.448739235
5,2023-04-29,19.50,19.52,31.050968092060305,0.99,16,1579.8999999999996,14202,75.077710317
6,2023-04-29,20.35,20.36,40.3236731100223,0.99,17,1595.2000000000003,12359,62.828883959
7,2023-04-29,21.20,21.21,39.52123201513284,0.99,17,1565.7999999999995,12216,61.492060879
8,2023-04-29,22.6,22.7,60.27709330545996,0.99,17,1597.6999999999998,11257,56.659563156
9,2023-04-29,22.50,22.51,90.10409263664215,0.99,16,1532.6999999999998,10504,50.258613687
10,2023-04-29,23.35,23.36,45.49228489420364,0.99,16,1555.9999999999995,13196,66.120836491
11,2023-05-01,14.11,14.12,65.98353065746515,0.99,16,1522.1999999999996,11612,47.0381757
12,2023-05-01,14.50,14.51,54.51352271909115,0.99,17,1566.3,12277,52.9673776
13,2023-05-01,15.32,15.33,126.80836449443558,0.99,17,1611.0999999999997,9469,41.7064498
14,2023-05-07,0.34,0.35,46.41596254892728,0.99,17,1557.8,12883,60.7746014
15,2023-05-07,1.18,1.19,102.68026665470376,0.99,16,1573.8000000000006,9931,48.0151484
16,2023-05-07,2.3,2.4,119.38755794951778,0.99,16,1569.8000000000002,8504,42.326684
17,2023-05-07,2.48,2.49,37.58429840618063,0.99,17,1588.1000000000001,14409,68.4802611
18,2023-05-07,3.34,3.36,21.624304612546318,0.99,16,1518.9999999999995,15912,93.1102333
19,2023-05-07,4.26,4.27,31.050968092060266,0.99,17,1640.7999999999997,14329,73.8880647
20,2023-05-07,5.15,5.16,59.674322372405406,0.99,16,1594.0999999999997,12556,67.4961452
21,2023-05-07,6.0,6.1,44.58698842480889,0.99,16,1535.1999999999998,13550,63.5928989
22,2023-05-07,6.44,6.45,52.89441658081147,0.99,17,1569.5999999999995,12372,61.01032
