i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-27,5.33,6.10,97.64791190970183,0.99,5,692.1000000000003,14901,2244.763181979
2,2023-10-27,7.20,7.57,133.34352394935135,0.99,6,714.8,13190,2212.545683949
3,2023-10-27,9.13,9.45,130.68998782275932,0.99,5,666.6000000000001,14541,1930.622968474
4,2023-10-27,11.0,11.31,124.28487804099622,0.99,6,704.9,13699,1846.432974108
5,2023-10-28,5.50,6.26,171.43206770813924,0.99,5,690.8,12569,2169.363616116
6,2023-10-28,7.37,8.11,133.34352394935138,0.99,4,682.5000000000002,12979,2041.090936949
7,2023-10-28,9.27,9.59,178.46427210137935,0.99,4,676.5,12076,1911.695017702
8,2023-10-28,11.8,11.49,57.90193532362253,0.99,4,637.8000000000002,17960,2432.990506057
9,2023-10-28,12.55,13.25,180.26694151654462,0.99,6,680.8999999999999,12771,1774.332145626
10,2023-10-28,14.34,15.4,176.67962938036536,0.99,4,643.4000000000001,12272,1756.873191854
