i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,6.50,7.38,174.91283308656162,0.99,15,24763.199999999986,18663,2864.818571104
2,2023-10-26,7.58,8.44,129.38308794453152,0.99,15,24763.199999999983,19185,2815.276000235
3,2023-10-26,9.3,9.50,117.01174554632208,0.99,15,24763.49999999998,20000,2820.867169453
4,2023-10-26,10.8,10.38,956.0349896421226,0.99,15,24763.199999999997,11435,1761.095977209
5,2023-10-26,11.12,12.1,141.6317954597224,0.99,15,24763.19999999999,20000,2915.180887903
6,2023-10-26,12.19,12.59,234.09979362657393,0.99,14,24895.899999999998,16755,2432.660120272
7,2023-10-26,13.23,14.1,449.897295014058,0.99,15,24775.899999999994,14353,2256.869704336
8,2023-10-26,14.29,15.8,386.93792730735663,0.99,14,24945.0,15282,2337.638470405
9,2023-10-26,15.33,16.22,117.01174554632208,0.99,14,24806.599999999995,20000,2903.242639622
10,2023-10-26,16.38,17.1,1564.4052037754827,0.99,14,24859.699999999997,9319,1367.40205829
