i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,7.24,7.40,342.97592505843687,0.99,10,6240.0999999999985,8594,1003.768215345
2,2023-10-26,8.35,8.54,283.3559480142662,0.99,10,6238.799999999998,10099,1100.070504784
3,2023-10-26,9.42,9.59,319.6759749133134,0.99,10,6242.500000000001,9177,1017.204345763
4,2023-10-26,10.38,10.58,289.10922152256467,0.99,10,6238.799999999999,9565,1227.569178044
5,2023-10-26,11.39,12.7,101.65346398815639,0.99,10,6238.799999999998,13727,1663.723710108
6,2023-10-26,12.54,13.12,246.16429336057791,0.99,10,6238.8,9689,1075.931699276
7,2023-10-26,14.11,14.25,133.3435239493515,0.99,10,6240.699999999998,12888,883.212039408
8,2023-10-26,15.4,15.27,102.6802666547036,0.99,10,6238.799999999997,13679,1393.975770165
9,2023-10-26,16.6,16.27,168.02056956074736,0.99,10,6238.799999999998,11517,1240.317442831
10,2023-10-26,17.0,17.25,227.14679565607116,0.99,10,6238.799999999998,10586,1478.706551728
11,2023-10-27,16.18,16.37,251.16242563062758,0.99,10,6238.799999999997,9915,1130.854784746
12,2023-10-27,17.20,17.45,130.6899878227594,0.99,10,6238.799999999998,13104,1493.195059248
13,2023-10-27,18.25,18.52,130.68998782275926,0.99,10,6238.799999999999,12645,1634.047393556
14,2023-10-27,19.54,20.8,150.4352434300747,0.99,10,6238.799999999998,12368,803.347405437
15,2023-10-27,20.44,21.3,264.1062602674316,0.99,10,6238.799999999999,9340,1123.855354033
16,2023-10-27,21.53,22.17,133.34352394935138,0.99,10,6240.699999999998,12499,1430.096249974
