i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,7.20,7.46,269.4686871415485,0.99,13,12746.400000000001,14016,1566.956063326
2,2023-10-26,8.30,8.51,544.5586797103911,0.99,12,12744.699999999999,11243,1222.565905571
3,2023-10-26,9.39,9.59,502.4886325074366,0.99,12,12735.799999999997,12145,1243.662356441
4,2023-10-26,10.43,11.1,789.8461117313008,0.99,11,12741.899999999996,9879,1059.178427837
5,2023-10-26,11.47,12.14,148.93089099577404,0.99,13,12734.399999999996,17305,1623.987311501
6,2023-10-26,12.44,13.12,297.95889877508364,0.99,13,12736.399999999996,13912,1650.97773969
7,2023-10-26,13.53,14.20,269.4686871415484,0.99,12,12733.499999999998,14648,1651.452337531
8,2023-10-26,14.52,15.14,578.4069691292561,0.99,12,12731.4,10630,1342.839760246
9,2023-10-26,15.59,16.26,313.31442301253844,0.99,13,12786.399999999998,13108,1568.091599816
10,2023-10-26,17.9,17.29,864.6209077135626,0.99,12,12781.0,9668,1227.729401638
11,2023-10-27,16.16,16.35,847.4149516500638,0.99,12,12737.399999999998,9251,1126.877376399
12,2023-10-27,17.9,17.44,191.47184529725467,0.99,13,12778.999999999995,16164,2143.418567
13,2023-10-27,18.36,18.55,544.5586797103912,0.99,12,12733.5,11520,1136.60220434
14,2023-10-27,19.28,19.59,248.65080137432076,0.99,11,12736.899999999998,14373,1811.824376321
15,2023-10-27,20.44,21.6,364.2943776102439,0.99,12,12750.599999999999,12943,1334.234212281
16,2023-10-27,21.46,22.20,84.83121459718748,0.99,12,12732.799999999997,19383,2037.849886683
