i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,6.5,7.17,432.1695465002968,0.99,4,16160.6,13705,1614.182088614
2,2023-10-26,7.58,8.34,209.5985005479425,0.99,5,16170.399999999998,17938,2174.011075323
3,2023-10-26,9.3,9.34,326.166692085821,0.99,4,16325.1,15548,1821.146793175
4,2023-10-26,10.8,10.32,700.1076444224333,0.99,5,16167.999999999998,12235,1418.43031167
5,2023-10-26,11.12,11.4,492.4891087205387,0.99,5,16195.7,13684,1688.888696654
6,2023-10-26,12.19,12.43,891.0870852320404,0.99,5,16211.999999999998,11226,1461.47864085
7,2023-10-26,13.23,13.54,283.3559480142658,0.99,4,16190.699999999995,15926,1874.952961363
8,2023-10-26,14.29,14.58,346.440328341855,0.99,4,16160.6,14861,1753.879862469
9,2023-10-26,15.33,16.1,329.4613051371934,0.99,4,16160.599999999999,15414,1690.090690659
10,2023-10-26,16.38,17.0,937.009893348244,0.99,4,16190.699999999997,11283,1319.56805169
11,2023-10-27,15.43,16.16,277.71716464878165,0.99,5,16259.499999999998,16130,1967.787559727
12,2023-10-27,16.51,17.21,454.44171213541193,0.99,4,16190.700000000003,14532,1794.937810512
13,2023-10-27,17.57,18.24,590.1509735019449,0.99,4,16290.299999999997,12885,1601.970054438
14,2023-10-27,19.4,19.28,937.0098933482444,0.99,6,16269.8,11226,1429.65886409
15,2023-10-27,20.9,20.44,248.65080137432074,0.99,5,16332.6,16230,2044.058673904
16,2023-10-27,21.16,21.42,528.384742364313,0.99,5,16248.399999999996,13584,1595.037740107
