i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,6.50,7.31,164.67696022648832,0.99,9,28468.999999999985,17783,2465.109270299
2,2023-10-26,7.58,8.34,353.47447030084123,0.99,10,28331.899999999994,14524,2169.662124945
3,2023-10-26,9.3,9.26,1241.534315122688,0.99,10,28336.199999999993,9752,1337.163657202
4,2023-10-26,10.8,10.36,672.5206098026872,0.99,9,28489.1,11572,1675.678847038
5,2023-10-26,11.12,11.45,419.3336787996919,0.99,9,28468.29999999999,13583,2000.571981115
6,2023-10-26,12.19,12.54,280.52238853412297,0.99,9,28446.999999999993,15641,2118.357000158
7,2023-10-26,13.23,13.59,286.2181293073391,0.99,10,28333.29999999999,14923,2149.849325069
8,2023-10-26,14.29,15.4,297.958898775083,0.99,10,28331.89999999998,14990,2099.186987017
9,2023-10-26,15.33,16.5,445.39832206391765,0.99,10,28353.999999999978,13098,1904.577896808
10,2023-10-26,16.38,17.16,243.70265042697162,0.99,10,28331.899999999983,16598,2246.290170601
