i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-08-27,14.52,14.52,68.6901985544008,0.99,4,417.86,14260,7.672054875
2,2023-08-27,14.58,14.58,251.1624256306274,0.99,4,431.30000000000007,9514,5.296375083
3,2023-08-27,15.4,15.5,64.6704583973816,0.99,4,420.91999999999996,15335,8.309276708
4,2023-08-27,15.11,15.11,258.85054568810995,0.99,4,420.62,8994,5.044969
5,2023-08-27,15.18,15.18,289.10922152256506,0.99,2,411.5,7596,4.289499625
6,2023-08-27,15.24,15.24,113.53637969185105,0.99,2,411.44,11472,6.358904541
7,2023-08-27,15.31,15.31,126.80836449443571,0.99,4,422.84000000000003,11463,6.431530625
8,2023-08-27,15.38,15.38,75.1931052682515,0.99,4,422.84000000000015,13245,7.460528917
9,2023-08-27,15.45,15.45,64.67045839738164,0.99,4,417.86,14213,7.8271005
10,2023-08-27,15.51,15.51,144.50749460230824,0.99,4,425.6,11576,6.389510125
