i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-06-21,13.55,13.55,197.33282761010253,0.99,5,430.8000000000001,10594,5.0478318
2,2023-06-23,1.30,1.30,94.7476712780719,0.99,5,458.6,13049,6.8403806
3,2023-06-23,1.34,1.34,216.0143425355924,0.99,4,424.3,8621,4.2556504
4,2023-06-23,1.38,1.38,209.59850054794276,0.99,4,429.4000000000001,9653,4.8532593
5,2023-06-23,1.43,1.43,104.76509198520917,0.99,5,450.00000000000006,11688,5.6256524
6,2023-06-23,1.47,1.47,191.47184529725516,0.99,4,432.29999999999995,8398,4.5822979
7,2023-06-23,1.51,1.51,129.38308794453175,0.99,5,448.30000000000007,10800,5.0755254
8,2023-06-23,1.56,1.56,277.7171646487818,0.99,5,436.7000000000001,7945,3.892768
9,2023-06-23,2.0,2.0,205.4274903870386,0.99,4,440.30000000000007,8709,4.8132279
10,2023-06-23,2.4,2.4,201.33948332833657,0.99,4,430.8000000000001,9244,4.680859
11,2023-06-23,2.9,2.9,68.69019855440084,0.99,4,428.4,11909,6.2956492
