i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-08-21,14.40,14.40,133.34352394935152,0.99,7,345.95,14598,9.012411917
2,2023-08-21,14.46,14.47,258.85054568810995,0.99,8,366.5500000000002,11545,7.351940292
3,2023-08-21,14.53,14.53,195.35949933400147,0.99,7,350.9999999999999,11460,6.905169833
4,2023-08-21,14.59,14.59,357.04491949580023,0.99,7,311.55,9089,5.782657375
5,2023-08-21,15.5,15.5,101.65346398815672,0.99,7,330.15000000000003,14173,8.732430709
6,2023-08-21,15.11,15.11,319.6759749133136,0.99,8,353.3999999999999,10405,6.463097375
7,2023-08-21,15.17,15.17,468.3522420773518,0.99,9,399.25,10196,6.868193583
8,2023-08-21,15.24,15.24,256.26204023122887,0.99,7,337.0999999999999,10501,6.448484958
9,2023-08-21,15.30,15.30,272.19059307227127,0.99,7,317.45000000000005,10592,6.563245583
10,2023-08-21,15.36,15.36,266.774000270133,0.99,8,370.7999999999999,11305,7.266254375
